grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02
0,10001,17,2,251,10,0,4.067519664764404,0.804172158241272,0.6459182500839233,0.5246504545211792,0.46968817710876465,0.45056506991386414,0.4147445261478424,0.39190465211868286,0.3710574209690094,0.3584984838962555,0.3408229649066925,0.3318105936050415,0.3210230767726898,0.3110777735710144,0.30033376812934875,0.280202180147171,0.2551291584968567,1.4285064935684204,0.33840471506118774
0,10001,17,2,251,10,1,2.19214129447937,1.0212349891662598,0.7628611922264099,0.6785455942153931,0.6255400776863098,0.6152502298355103,0.5719121098518372,0.5537070035934448,0.5249783396720886,0.5113832354545593,0.5050644874572754,0.4901069700717926,0.4823168218135834,0.4508779048919678,0.44850027561187744,0.41240182518959045,0.3954611122608185,0.9352273344993591,0.5284141898155212
5000,15001,17,2,252,15,0,1772.654541015625,74.48236846923828,46.157386779785156,29.889341354370117,21.228967666625977,18.177494049072266,13.347983360290527,11.279459953308105,10.744786262512207,8.811344146728516,7.7610344886779785,7.243313312530518,6.999807357788086,6.5905866622924805,6.144583225250244,5.849035739898682,5.423608303070068,610.7944946289062,8.997215270996094
5000,15001,17,2,252,15,1,1772.2130126953125,74.41456604003906,45.78346252441406,30.24693489074707,21.957626342773438,18.038034439086914,13.198019981384277,11.089261054992676,10.889020919799805,9.153365135192871,7.8725786209106445,7.56423282623291,6.766057968139648,6.507894515991211,6.3666205406188965,5.677438735961914,5.09487771987915,610.982177734375,9.401004791259766
10000,20001,17,2,254,20,0,3014.454345703125,82.11467742919922,38.836483001708984,19.096853256225586,12.829986572265625,9.404281616210938,7.660061359405518,6.490555763244629,6.481211185455322,5.24348258972168,4.8054680824279785,4.580141544342041,4.419008255004883,4.331748008728027,4.04067850112915,3.7656915187835693,3.3832039833068848,1033.07861328125,6.56246280670166
10000,20001,17,2,254,20,1,3014.6962890625,82.32109832763672,38.69349670410156,19.290143966674805,13.099591255187988,9.444130897521973,7.930169105529785,6.722107410430908,5.968388080596924,5.01357889175415,4.942235469818115,4.535594463348389,4.409801959991455,4.118414878845215,4.041015148162842,3.851226329803467,3.7608823776245117,1033.7906494140625,6.355923175811768
15000,25001,17,2,255,25,0,3519.89013671875,78.282958984375,33.19562530517578,20.116655349731445,12.79966926574707,9.541766166687012,8.719817161560059,6.950815677642822,6.37318754196167,5.057700157165527,4.475340843200684,3.634434223175049,3.5121397972106934,3.0370073318481445,2.9790968894958496,2.8385493755340576,2.3093559741973877,1211.021728515625,5.768595218658447
15000,25001,17,2,255,25,1,3520.99462890625,78.91938781738281,33.32889175415039,19.54503059387207,13.213029861450195,9.447951316833496,8.647756576538086,6.552668571472168,6.315567493438721,4.84240198135376,4.235941410064697,3.993412971496582,3.495692491531372,3.151326894760132,2.7413361072540283,2.6860849857330322,2.388072967529297,1211.63818359375,5.731183052062988
20000,30001,17,2,254,30,0,4145.5634765625,90.31019592285156,41.90157699584961,16.702056884765625,9.865489959716797,7.039816856384277,5.65699577331543,4.425572395324707,3.7581064701080322,3.1769556999206543,2.74566650390625,2.4789469242095947,2.381718635559082,2.1890904903411865,2.076819896697998,1.8942959308624268,1.7074668407440186,1416.7008056640625,6.014992713928223
20000,30001,17,2,254,30,1,4151.06201171875,90.4901351928711,42.223445892333984,17.065067291259766,9.88621711730957,7.43426513671875,5.797016620635986,4.3048858642578125,3.945176601409912,3.2228658199310303,2.8880679607391357,2.502072334289551,2.3287599086761475,2.1683108806610107,2.1063880920410156,1.9729114770889282,1.9522984027862549,1418.666259765625,6.308896064758301
25000,35001,17,2,253,35,0,4635.0498046875,97.10124969482422,46.004051208496094,20.460351943969727,10.363458633422852,8.099822998046875,5.90850830078125,4.390710830688477,3.8557639122009277,3.577735185623169,3.2262377738952637,2.8346729278564453,2.3431668281555176,2.2963013648986816,2.102386236190796,1.846291184425354,1.760992407798767,1595.0186767578125,5.883821487426758
25000,35001,17,2,253,35,1,4645.345703125,96.61956787109375,46.57003402709961,20.727109909057617,10.440558433532715,8.27866268157959,5.920197010040283,4.4615654945373535,4.0765061378479,3.717832088470459,3.076810598373413,3.0046355724334717,2.7234904766082764,2.2922704219818115,2.236618995666504,1.9187265634536743,1.8916865587234497,1598.3795166015625,6.210660934448242
30000,40001,17,2,245,39,0,5001.5009765625,119.16510772705078,42.259605407714844,17.62608528137207,9.558232307434082,6.679848670959473,4.599104404449463,3.3033974170684814,3.0487430095672607,2.713123321533203,2.2482049465179443,1.8744581937789917,1.8251608610153198,1.6981528997421265,1.5735056400299072,1.4986400604248047,1.3579014539718628,1721.6375732421875,5.879209995269775
30000,40001,17,2,245,39,1,5002.00341796875,119.36079406738281,42.30402755737305,17.936519622802734,10.202807426452637,6.611515522003174,4.464653015136719,3.7625205516815186,3.0919406414031982,2.916745185852051,2.4301068782806396,2.0215976238250732,1.9506194591522217,1.7700239419937134,1.6652894020080566,1.4784505367279053,1.4394843578338623,1721.834228515625,6.1750168800354
35000,45001,17,2,253,44,0,5492.9951171875,100.31574249267578,39.5903205871582,16.13197135925293,9.5851469039917,5.077469348907471,4.59709358215332,3.7222695350646973,2.911281108856201,2.5952091217041016,2.293280839920044,1.9848926067352295,1.868999719619751,1.6871525049209595,1.540195345878601,1.405763030052185,1.3530629873275757,1885.1070556640625,5.215104103088379
35000,45001,17,2,253,44,1,5490.75732421875,99.68025970458984,39.90269088745117,16.158573150634766,9.674384117126465,5.580718517303467,4.726011276245117,3.967479705810547,2.925366163253784,2.6804463863372803,2.3738012313842773,2.0846352577209473,1.8669146299362183,1.7337961196899414,1.5818445682525635,1.5214372873306274,1.3118407726287842,1884.0557861328125,5.335526466369629
40000,50001,17,2,252,49,0,5657.68310546875,95.05199432373047,41.27526092529297,14.628473281860352,9.164290428161621,6.193159580230713,4.016263961791992,3.0352420806884766,2.543647050857544,2.0484557151794434,1.9753490686416626,1.6714959144592285,1.5504658222198486,1.4327542781829834,1.4020919799804688,1.287827730178833,1.2171423435211182,1941.4932861328125,4.650815486907959
40000,50001,17,2,252,49,1,5654.865234375,94.41390228271484,41.30611038208008,15.087169647216797,9.044363021850586,6.0460920333862305,3.723160743713379,3.423431873321533,2.5625076293945312,2.109778881072998,1.8668739795684814,1.7328745126724243,1.5855339765548706,1.4667339324951172,1.357681155204773,1.2914390563964844,1.167660117149353,1940.5823974609375,4.846158981323242
45000,55001,17,2,252,54,0,5852.310546875,122.72864532470703,37.577579498291016,17.21915054321289,9.796340942382812,6.74166202545166,4.139740943908691,3.8190195560455322,3.019023895263672,2.4709384441375732,2.1388347148895264,1.7894697189331055,1.7041765451431274,1.6131356954574585,1.5288710594177246,1.342360258102417,1.2240102291107178,2010.7353515625,4.672047138214111
45000,55001,17,2,252,54,1,5849.98486328125,123.08152770996094,37.703426361083984,17.28232192993164,9.62095832824707,6.881842613220215,4.549458980560303,3.851616859436035,2.9600112438201904,2.5229265689849854,2.2260515689849854,1.8607211112976074,1.7012484073638916,1.6861720085144043,1.4870022535324097,1.4181797504425049,1.3793718814849854,2009.9466552734375,4.878580570220947
50000,60001,17,2,250,60,0,6100.29296875,119.07616424560547,36.83232498168945,17.42488670349121,8.746389389038086,6.443849086761475,3.902878522872925,3.117611885070801,2.7964534759521484,2.4218504428863525,2.027395248413086,1.9444491863250732,1.7664777040481567,1.601745367050171,1.4268938302993774,1.3755707740783691,1.2705552577972412,2093.438232421875,5.088710308074951
50000,60001,17,2,250,60,1,6103.115234375,118.69058227539062,36.78048324584961,17.532169342041016,8.911514282226562,5.7115092277526855,4.243417739868164,3.473417043685913,2.70786714553833,2.3096063137054443,2.144714117050171,1.864729404449463,1.67729651927948,1.57036292552948,1.5022258758544922,1.390912652015686,1.102626085281372,2094.417236328125,5.205959796905518
55000,65001,17,2,255,64,0,6302.92041015625,120.48966979980469,48.847816467285156,16.40268325805664,10.196768760681152,5.413690567016602,4.16310977935791,3.22483229637146,2.8479316234588623,2.168342113494873,1.922439455986023,1.6428074836730957,1.5464433431625366,1.4835026264190674,1.4339553117752075,1.2753931283950806,1.1210981607437134,2157.822021484375,5.611119747161865
55000,65001,17,2,255,64,1,6307.255859375,120.77803039550781,48.699398040771484,16.890451431274414,10.306642532348633,5.631441116333008,4.383457183837891,3.31844425201416,2.853515148162842,2.1065711975097656,1.829698920249939,1.6264116764068604,1.533941626548767,1.4020148515701294,1.2789034843444824,1.199774146080017,1.1288931369781494,2159.16162109375,5.598366737365723
60000,70001,17,2,253,69,0,6350.7041015625,126.09617614746094,40.08623123168945,16.073951721191406,7.3772873878479,5.969484329223633,3.923460006713867,3.2338874340057373,2.3134918212890625,1.9854371547698975,1.7672652006149292,1.4363298416137695,1.4248753786087036,1.2961480617523193,1.2220358848571777,1.1330816745758057,1.118132472038269,2177.241943359375,5.530261039733887
60000,70001,17,2,253,69,1,6350.7578125,126.54188537597656,40.19273376464844,16.333559036254883,7.588149070739746,5.849069118499756,4.26263952255249,3.192945718765259,2.39646315574646,1.8993723392486572,1.809411644935608,1.4613655805587769,1.3573334217071533,1.2455345392227173,1.1880207061767578,1.047699213027954,0.9235833287239075,2177.255615234375,5.519479751586914
65000,75001,17,2,252,72,0,6317.93359375,119.2439193725586,47.137237548828125,15.567055702209473,8.393648147583008,5.286823272705078,3.9100301265716553,2.983588933944702,2.412419080734253,2.1196203231811523,1.5304745435714722,1.507299542427063,1.3380165100097656,1.1772319078445435,1.0709903240203857,1.0320719480514526,0.9191300272941589,2167.80908203125,6.193780899047852
65000,75001,17,2,252,72,1,6321.16064453125,119.92852020263672,47.3899040222168,15.743366241455078,8.930420875549316,5.446745872497559,4.0479278564453125,2.794022560119629,2.500173807144165,1.8711341619491577,1.69605553150177,1.4265886545181274,1.336427092552185,1.200190782546997,1.143462061882019,1.0783812999725342,0.869388997554779,2168.783935546875,6.148715496063232
70000,80001,17,2,251,74,0,6460.84619140625,119.96743774414062,48.73038101196289,16.38874053955078,9.65898323059082,4.727155685424805,3.524812936782837,2.7339165210723877,2.2562637329101562,1.8264573812484741,1.6130729913711548,1.3922899961471558,1.3212743997573853,1.1782394647598267,1.0765058994293213,0.9489242434501648,0.9227149486541748,2213.749267578125,6.400119781494141
70000,80001,17,2,251,74,1,6461.67626953125,120.40970611572266,48.545082092285156,16.53569793701172,9.914689064025879,4.811040878295898,3.7197446823120117,2.8794214725494385,2.3759350776672363,1.886265754699707,1.6482914686203003,1.5073285102844238,1.286181926727295,1.1685373783111572,1.0871931314468384,1.0119127035140991,0.9020561575889587,2214.012451171875,6.191331386566162
75000,85001,17,2,251,79,0,6613.791015625,170.89675903320312,55.89215087890625,18.951539993286133,9.51123046875,5.4614787101745605,4.287013053894043,3.173372745513916,2.3409464359283447,1.8656829595565796,1.8098405599594116,1.53671395778656,1.4231672286987305,1.3132729530334473,1.2250385284423828,1.1484240293502808,0.9395842552185059,2265.365478515625,6.850407600402832
75000,85001,17,2,251,79,1,6611.62890625,170.3932647705078,55.87354278564453,18.844266891479492,9.765667915344238,5.679009437561035,4.268256187438965,2.979370355606079,2.2871925830841064,1.8427910804748535,1.6446717977523804,1.480035424232483,1.3860042095184326,1.2319766283035278,1.1513391733169556,1.0288130044937134,0.9405577182769775,2264.527099609375,6.897447109222412
80000,90001,17,2,252,86,0,6544.16650390625,148.234619140625,52.65237808227539,15.538824081420898,10.485867500305176,5.341226577758789,3.972191333770752,2.819740056991577,2.2464985847473145,2.104172706604004,1.8062944412231445,1.673577904701233,1.4155664443969727,1.3576419353485107,1.1864811182022095,1.1531918048858643,1.0625191926956177,2249.729248046875,5.931467533111572
80000,90001,17,2,252,86,1,6541.6484375,148.42501831054688,52.796138763427734,15.823988914489746,10.431078910827637,5.058129787445068,3.6334009170532227,2.722475290298462,2.3155503273010254,2.0863285064697266,1.7676438093185425,1.4842180013656616,1.4296876192092896,1.3320013284683228,1.1515661478042603,1.106053352355957,0.8786936402320862,2248.767333984375,5.826097011566162
85000,95001,17,2,251,89,0,6825.134765625,155.29173278808594,51.324073791503906,20.059810638427734,9.14106273651123,6.995272636413574,3.7187535762786865,2.9146335124969482,2.598872184753418,2.0957188606262207,1.8851841688156128,1.713619351387024,1.4652031660079956,1.3570430278778076,1.2206145524978638,1.0608165264129639,0.9907723069190979,2334.858154296875,7.0727739334106445
85000,95001,17,2,251,89,1,6822.77490234375,154.9657745361328,51.740848541259766,19.76486587524414,8.852147102355957,6.611201286315918,3.598247766494751,2.8327202796936035,2.5576305389404297,2.063399314880371,1.8899112939834595,1.7269266843795776,1.5624442100524902,1.2451751232147217,1.179745078086853,1.0781093835830688,1.0474289655685425,2333.878662109375,6.7137227058410645
90000,100001,17,2,249,91,0,6787.734375,154.89126586914062,59.5722541809082,15.153369903564453,8.015661239624023,5.121564865112305,3.867500066757202,2.9770147800445557,2.357982873916626,1.8783830404281616,1.5914374589920044,1.4726749658584595,1.337926983833313,1.263692855834961,1.2282917499542236,1.176037073135376,1.0186114311218262,2324.812255859375,7.106723308563232
90000,100001,17,2,249,91,1,6791.27734375,154.90386962890625,59.89542007446289,15.271577835083008,8.162753105163574,5.160306453704834,3.7996127605438232,3.0609123706817627,2.3743982315063477,2.0262086391448975,1.6965707540512085,1.4750038385391235,1.3959159851074219,1.3169753551483154,1.2570894956588745,1.1503416299819946,1.0518029928207397,2326.19970703125,6.919810771942139
95000,105001,17,2,249,96,0,7088.4580078125,164.43251037597656,59.43899154663086,17.956668853759766,8.709376335144043,5.238340377807617,4.027255058288574,3.29544734954834,2.476837396621704,2.1299378871917725,1.9296945333480835,1.7314168214797974,1.593618631362915,1.424420714378357,1.3573071956634521,1.244888424873352,1.0589760541915894,2434.150146484375,7.687474250793457
95000,105001,17,2,249,96,1,7084.14501953125,163.90399169921875,58.90485763549805,17.666728973388672,8.587848663330078,5.396393299102783,3.8469655513763428,3.1332924365997314,2.2344417572021484,1.9806774854660034,1.7903923988342285,1.7205836772918701,1.4733270406723022,1.2712594270706177,1.2085974216461182,1.109635829925537,1.0770801305770874,2432.58251953125,7.464932441711426
100000,110001,17,2,254,102,0,7234.11376953125,148.2506103515625,62.03725814819336,16.703779220581055,11.322935104370117,6.271590709686279,4.5437445640563965,2.8068833351135254,2.6317946910858154,1.8027104139328003,1.6929453611373901,1.6573978662490845,1.5039935111999512,1.4074355363845825,1.2871626615524292,1.1029397249221802,1.0277906656265259,2478.67919921875,7.658369064331055
100000,110001,17,2,254,102,1,7243.005859375,148.31512451171875,62.06251525878906,16.73137855529785,10.764517784118652,5.939880847930908,4.723882675170898,2.69785213470459,2.6540143489837646,1.859920620918274,1.7728493213653564,1.663381814956665,1.4462502002716064,1.3885526657104492,1.314071536064148,1.2157400846481323,1.0330512523651123,2481.979736328125,7.799722194671631
105000,115001,17,2,252,109,0,7677.50634765625,154.14842224121094,61.05139923095703,20.339569091796875,10.851325988769531,5.993304252624512,3.781520128250122,2.786046266555786,2.3995559215545654,1.9381256103515625,1.7255035638809204,1.5860481262207031,1.5274792909622192,1.4199872016906738,1.3137012720108032,1.2799811363220215,1.0330756902694702,2642.66748046875,7.031402111053467
105000,115001,17,2,252,109,1,7674.9482421875,154.37171936035156,60.94029235839844,20.276432037353516,10.210858345031738,5.983651161193848,3.6873133182525635,2.881755828857422,2.4812304973602295,2.14229154586792,1.8711869716644287,1.6719274520874023,1.5008504390716553,1.3136894702911377,1.2064889669418335,1.1623332500457764,1.038291573524475,2641.71435546875,6.957101345062256
110000,120001,17,2,250,107,0,7953.62060546875,155.24911499023438,63.64060592651367,23.63446044921875,10.749200820922852,5.994758129119873,3.695375442504883,2.738184928894043,2.336960554122925,2.0433316230773926,1.7801239490509033,1.5390528440475464,1.49569571018219,1.33572518825531,1.2778966426849365,1.2005946636199951,1.1471186876296997,2715.8505859375,7.382828712463379
110000,120001,17,2,250,107,1,7954.6279296875,155.18075561523438,63.99580764770508,23.51336669921875,10.161377906799316,5.904354572296143,3.5135340690612793,2.7104990482330322,2.255837917327881,1.996418833732605,1.8487588167190552,1.6484370231628418,1.4211764335632324,1.2814470529556274,1.1918009519577026,1.0853798389434814,1.020240068435669,2715.891845703125,7.288588047027588
115000,125001,17,2,253,105,0,8308.9453125,169.98106384277344,60.95619201660156,23.134998321533203,9.29608154296875,5.839284896850586,4.004330158233643,2.9460651874542236,2.5136983394622803,2.294887065887451,1.6871110200881958,1.6831656694412231,1.5900627374649048,1.4668408632278442,1.3278698921203613,1.1972167491912842,1.1254754066467285,2835.853271484375,7.661578178405762
115000,125001,17,2,253,105,1,8312.9384765625,169.36244201660156,60.9815788269043,22.96295166015625,9.508620262145996,5.800329208374023,3.9215047359466553,2.9970791339874268,2.5536022186279297,2.1297662258148193,1.8723915815353394,1.6240202188491821,1.5511305332183838,1.438942790031433,1.3514955043792725,1.2908695936203003,1.2000385522842407,2837.372314453125,7.78470516204834
