episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,6,1.0728,2.1214,303,100,303,100,6.0584,2.9048,0.000183798,0.0199947,0.0056515,0.0290482
0,Hankel action rollout,16,1.2492,3.3415,303,100,303,100,6.5477,2.9971,3.2808e-06,0.0216097,0.00540198,0.0299715
25,Hankel Q rollout,15,1.4166,2.5554,303,100,303,100,5.6546,3.4948,1.15958e-05,0.0186621,0.00461917,0.0349478
25,Hankel action rollout,79,3.8296,1.6252,303,100,303,100,3.1413,1.2471,6.97251e-05,0.0103674,0.00770773,0.012471
50,Hankel Q rollout,7,1.1705,8.0188,303,100,303,100,17.1667,7.0753,0.000597303,0.0566559,0.00232037,0.0707527
50,Hankel action rollout,51,2.4023,3.0909,303,100,303,100,5.7573,1.9573,7.72194e-05,0.0190008,0.000397637,0.0195729
75,Hankel Q rollout,8,1.1135,7.8616,303,100,303,100,11.9495,5.3696,0.000538663,0.0394374,0.00233155,0.0536958
75,Hankel action rollout,47,2.8250,3.0268,303,100,303,100,5.6498,2.1141,0.000122283,0.0186464,0.000554938,0.0211411
