grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03
0,10001,17,3,255,10,0,15.800753593444824,5.159234523773193,4.756093978881836,4.72438907623291,4.68962287902832,4.564792156219482,4.472314834594727,4.071253299713135,3.9330997467041016,3.689542770385742,3.5145909786224365,3.411080837249756,3.314270496368408,3.1893975734710693,3.0022130012512207,2.7448043823242188,2.6880381107330322,7.6837239265441895,4.270182132720947,3.6688899993896484
0,10001,17,3,255,10,1,22.704626083374023,3.5972273349761963,3.451540470123291,3.2217514514923096,3.1700000762939453,3.0964303016662598,3.0319976806640625,2.950631856918335,2.838313102722168,2.7823359966278076,2.719181776046753,2.659029245376587,2.6147170066833496,2.5577917098999023,2.363797903060913,2.2149531841278076,2.0556368827819824,10.036394119262695,2.8394360542297363,2.769345760345459
5000,15001,17,3,252,15,0,2195.212646484375,70.1163101196289,43.38137435913086,34.662574768066406,28.384769439697266,25.62213134765625,22.812467575073242,18.667356491088867,17.32585334777832,15.584049224853516,14.197809219360352,12.929407119750977,12.648087501525879,11.585728645324707,11.146915435791016,10.362883567810059,9.303993225097656,925.8638305664062,22.503894805908203,11.46141242980957
5000,15001,17,3,252,15,1,2191.878662109375,69.04810333251953,41.45482635498047,34.557769775390625,27.834136962890625,25.80316734313965,23.826257705688477,18.973329544067383,17.7189998626709,15.47358226776123,14.992039680480957,14.2699613571167,12.89742374420166,11.822476387023926,11.432962417602539,10.996959686279297,10.004037857055664,924.9918212890625,23.15325355529785,12.17402458190918
10000,20001,17,3,252,20,0,2083.084228515625,84.04907989501953,52.59518051147461,36.36241912841797,29.69329833984375,22.0860652923584,20.981657028198242,17.52389144897461,16.7790584564209,16.28388786315918,14.181554794311523,12.99698543548584,12.73618221282959,11.158761978149414,10.212540626525879,9.894529342651367,9.36533260345459,876.728759765625,19.239648818969727,12.345026969909668
10000,20001,17,3,252,20,1,2076.69482421875,81.84797668457031,51.914085388183594,36.28974533081055,28.763879776000977,21.474149703979492,20.69375991821289,17.777725219726562,15.842710494995117,15.690653800964355,14.078133583068848,12.990462303161621,10.970560073852539,10.773180961608887,10.625566482543945,9.869274139404297,9.272496223449707,873.010986328125,19.12108612060547,12.109644889831543
15000,25001,17,3,255,25,0,1616.1866455078125,83.91241455078125,48.28975296020508,33.30553436279297,28.120830535888672,22.11146354675293,20.086864471435547,15.774565696716309,14.044476509094238,12.538252830505371,10.923234939575195,9.742183685302734,8.370903968811035,8.216133117675781,7.785025596618652,7.3923492431640625,6.762269020080566,676.2384033203125,17.726415634155273,8.7919340133667
15000,25001,17,3,255,25,1,1607.806396484375,83.48843383789062,48.10276412963867,33.30057144165039,26.826528549194336,22.28551483154297,19.752628326416016,15.957719802856445,14.415384292602539,12.536752700805664,11.572102546691895,10.174206733703613,9.085161209106445,8.186422348022461,8.029753684997559,7.622603893280029,6.801706314086914,672.6326904296875,17.790939331054688,9.129301071166992
20000,30001,17,3,249,30,0,1444.0279541015625,100.75033569335938,55.18122482299805,40.280513763427734,28.686519622802734,21.746828079223633,18.534311294555664,15.428472518920898,13.729818344116211,11.670379638671875,11.445462226867676,9.521153450012207,9.341477394104004,9.142492294311523,8.427921295166016,7.866424083709717,6.867973327636719,608.2435913085938,19.637514114379883,9.482918739318848
20000,30001,17,3,249,30,1,1447.7686767578125,100.99695587158203,54.64484786987305,40.62850570678711,28.40074348449707,22.137487411499023,19.093406677246094,15.09133529663086,13.915307998657227,12.44150447845459,11.103730201721191,10.733624458312988,9.506139755249023,9.092323303222656,8.35684585571289,7.6403889656066895,7.179995536804199,609.6876831054688,19.20534896850586,10.009588241577148
