episode,reward,steps
0,-114.250844,200
1,-20.264642,35
2,-166.663694,234
3,-49.402049,79
4,-13.332876,41
5,-9.451521,11
6,-112.358022,227
7,-8.425052,24
8,-28.142894,49
9,-65.693915,152
10,-34.749355,98
11,-4.860243,16
12,-5.087578,61
13,-40.85409,69
14,5.132446,15
15,-3.40782,30
16,-16.677262,36
17,-79.505818,85
18,8.386197,52
19,-25.020493,34
20,14.193939,47
21,4.763581,34
22,-10.300154,16
23,-34.617887,81
24,-409.779166,1000
25,-303.107509,1000
26,-5.955457,60
27,-84.437542,88
28,-41.796706,115
29,-4.03225,105
30,-10.368704,19
31,-29.821908,127
32,-15.499871,91
33,-21.559098,30
34,-14.706751,23
35,-33.442268,121
36,4.708106,62
37,-6.462302,15
38,-75.545466,146
39,-8.626668,141
40,-72.093568,102
41,-3.699434,135
42,-1.487768,19
43,-20.095472,49
44,-364.887945,1000
45,-331.675051,1000
46,-12.869184,17
47,-3.948376,43
48,-21.506293,113
49,-32.605274,71
50,-38.193093,99
51,-400.427621,1000
52,-16.374013,62
53,-19.960386,34
54,-15.823244,107
55,-55.468784,273
56,0.794746,109
57,-22.491537,29
58,-10.580685,56
59,-14.887982,20
60,56.256133,76
61,-25.41608,80
62,-21.199118,19
63,-302.052104,1000
64,843.380631,1000
65,834.315688,1000
66,748.668479,1000
67,471.64892,805
68,71.418298,197
69,149.09476,736
70,8.84769,68
71,70.942164,140
72,3.304583,1000
73,-6.629906,35
74,101.617508,212
75,7.07372,46
76,-35.628871,61
77,-26.319144,206
78,-120.771973,1000
79,90.28752,237
80,85.458735,195
81,12.046072,57
82,-30.444397,50
83,32.509951,1000
84,-62.681601,82
85,16.694982,156
86,-7.621488,39
87,-4.870816,227
88,41.641821,178
89,-220.4917,1000
90,-7.371697,56
91,68.748671,245
92,-6.370611,245
93,1.378237,155
94,29.037242,292
95,22.559046,71
96,-35.597593,1000
97,-178.727138,1000
98,31.567787,104
99,20.762092,141
100,204.183097,1000
101,157.941789,1000
102,124.718651,325
103,19.838347,42
104,22.964775,39
105,4.69792,196
106,19.853954,56
107,11.610939,111
108,524.58551,1000
109,26.153918,68
110,-5.946003,59
111,3.807065,64
112,71.753193,218
113,299.107425,1000
114,30.229158,62
115,0.146057,86
116,339.984862,1000
117,51.343199,76
118,2.851741,28
119,33.262429,56
120,31.269415,57
121,86.259141,361
122,-14.083602,25
123,16.140369,28
124,54.183539,61
125,29.528489,53
126,15.442219,67
127,302.463067,1000
128,19.591317,35
129,8.2202,86
130,-23.243612,21
131,238.824481,1000
132,4.41827,62
133,469.111776,1000
134,7.453697,1000
135,40.725288,50
136,15.717778,131
137,-1.340425,77
138,52.613112,100
139,503.837307,1000
140,37.346486,354
141,30.495601,160
142,370.428962,1000
143,457.573115,1000
144,17.069877,37
145,535.302114,1000
146,42.234166,120
147,23.46632,52
148,302.791496,1000
149,-0.803275,31
150,7.19191,38
151,62.126102,124
152,648.66134,1000
153,-9.557172,87
154,29.60944,34
155,558.365582,1000
156,-1.669032,19
157,44.736242,190
