grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03,pen_sv_04,pen_sv_05,pen_sv_06,pen_sv_07,pen_sv_08,pen_sv_09
0,10001,17,9,253,10,0,4.020808219909668,1.4745889902114868,1.0615049600601196,0.8912193179130554,0.645168662071228,0.5419878959655762,0.5090768933296204,0.4611235558986664,0.409030020236969,0.3867819905281067,0.37684422731399536,0.37592461705207825,0.35782021284103394,0.3426828980445862,0.3118259608745575,0.28546464443206787,0.24889549612998962,3.0534825325012207,0.9996489882469177,0.7117933630943298,0.5030531883239746,0.41922518610954285,0.3808111250400543,0.3571970760822296,0.3371508717536926,0.2953004837036133
0,10001,17,9,253,10,1,6.649321556091309,1.5099998712539673,1.2206491231918335,1.0831629037857056,0.9155986905097961,0.7333588600158691,0.676395833492279,0.6442923545837402,0.6079006791114807,0.595562756061554,0.5659382939338684,0.5210407376289368,0.5054327249526978,0.4800383150577545,0.46272099018096924,0.4341644048690796,0.4162808656692505,5.016506671905518,1.1443893909454346,0.8804455995559692,0.692033588886261,0.5815116763114929,0.5395051836967468,0.5143516659736633,0.486003577709198,0.4538698196411133
5000,15001,17,9,251,15,0,614.48779296875,62.63737869262695,33.14013671875,24.275047302246094,16.996747970581055,11.647944450378418,9.760778427124023,8.78502368927002,8.243279457092285,7.032495975494385,6.394277095794678,6.204890251159668,5.793724060058594,5.538310527801514,5.265539169311523,4.891849517822266,4.251284122467041,450.9273986816406,34.39414978027344,18.97751235961914,10.679953575134277,8.596037864685059,6.809213161468506,6.043478965759277,5.606843948364258,4.569085121154785
5000,15001,17,9,251,15,1,614.8900146484375,63.03022003173828,33.52111053466797,24.723726272583008,17.273162841796875,11.690844535827637,9.962215423583984,8.614522933959961,8.378337860107422,7.014030456542969,6.40291690826416,5.875362873077393,5.716737270355225,5.535181522369385,5.429102420806885,5.072934150695801,4.172296524047852,451.2562561035156,34.48881530761719,19.290918350219727,10.95125961303711,8.784193992614746,6.776754379272461,5.87257194519043,5.763923168182373,4.529104709625244
10000,20001,17,9,252,20,0,994.108642578125,67.7109146118164,27.07170867919922,13.900185585021973,11.006821632385254,8.362428665161133,6.045334815979004,4.983082294464111,4.067294120788574,3.6815834045410156,3.602792978286743,3.339879035949707,3.0363500118255615,2.894495725631714,2.544935941696167,2.4879655838012695,2.0381829738616943,718.9732055664062,30.550395965576172,11.850563049316406,6.757905960083008,4.926650047302246,3.7089133262634277,3.30224609375,3.0575296878814697,2.565192937850952
10000,20001,17,9,252,20,1,997.1295166015625,67.48090362548828,26.965587615966797,13.673064231872559,10.947798728942871,8.317022323608398,6.084826469421387,4.875114917755127,4.268321990966797,3.9014511108398438,3.5457632541656494,3.4685463905334473,3.1005117893218994,2.7767820358276367,2.6062114238739014,2.435802698135376,2.170520782470703,721.0119018554688,30.69274139404297,11.782343864440918,6.5460524559021,5.003281593322754,3.8425893783569336,3.2197506427764893,3.066854238510132,2.7255818843841553
15000,25001,17,9,251,25,0,1197.0020751953125,75.40196990966797,30.99237060546875,12.65947151184082,7.805017471313477,5.971395492553711,4.255772113800049,3.864675760269165,3.3550968170166016,2.6589701175689697,2.416048288345337,2.1395256519317627,1.8538357019424438,1.7775541543960571,1.7070295810699463,1.5355850458145142,1.4527558088302612,872.8396606445312,33.460811614990234,9.099479675292969,5.419373989105225,3.5919573307037354,2.1797597408294678,2.087702751159668,1.8359047174453735,1.6121495962142944
15000,25001,17,9,251,25,1,1196.765869140625,75.6325454711914,30.925085067749023,12.602021217346191,7.649313926696777,6.170505046844482,3.957373857498169,3.7234418392181396,3.307398796081543,2.703037738800049,2.2877087593078613,2.0587263107299805,1.9038053750991821,1.7703042030334473,1.6794158220291138,1.6141529083251953,1.424942135810852,872.6580810546875,33.69383239746094,9.208745956420898,5.328404426574707,3.511847734451294,2.239219903945923,1.9711909294128418,1.8364390134811401,1.5508166551589966
20000,30001,17,9,247,30,0,1284.388671875,72.40812683105469,31.062545776367188,13.916254997253418,8.092774391174316,5.357429504394531,3.1958539485931396,3.046743631362915,2.9429244995117188,2.351602554321289,1.87993586063385,1.787123441696167,1.731973648071289,1.5741984844207764,1.4068511724472046,1.3223241567611694,1.1864299774169922,937.9620971679688,35.34891128540039,10.039074897766113,4.293129920959473,2.7223849296569824,1.9937541484832764,1.7747101783752441,1.5325112342834473,1.3196228742599487
20000,30001,17,9,247,30,1,1285.6910400390625,72.09833526611328,31.068233489990234,13.68821907043457,7.904714107513428,5.245386123657227,3.540412664413452,2.8662664890289307,2.7381808757781982,2.2759552001953125,1.7849825620651245,1.7254436016082764,1.4910335540771484,1.4101260900497437,1.3400282859802246,1.2561323642730713,1.0927832126617432,938.88818359375,35.3878173828125,9.947521209716797,4.351658821105957,2.6347227096557617,1.9305700063705444,1.6980221271514893,1.421353816986084,1.1561685800552368
25000,35001,17,9,252,35,0,1545.584228515625,75.2756576538086,38.117523193359375,18.621129989624023,9.585860252380371,7.876772403717041,5.575270175933838,4.866018295288086,3.4218952655792236,2.9539356231689453,2.783858060836792,2.1535584926605225,2.068355083465576,1.7896130084991455,1.703021764755249,1.6078877449035645,1.3278096914291382,1124.1610107421875,40.22203063964844,14.916128158569336,5.799262046813965,4.797348499298096,3.7641682624816895,2.994225025177002,1.7670940160751343,1.7547043561935425
25000,35001,17,9,252,35,1,1547.367431640625,74.90863800048828,38.27178192138672,18.65891456604004,9.784783363342285,8.2256498336792,5.526399612426758,5.035623073577881,3.3586342334747314,3.038052558898926,2.724287509918213,2.301856517791748,2.1135685443878174,1.9745663404464722,1.7845537662506104,1.5608493089675903,1.3205395936965942,1125.3619384765625,40.6287956237793,14.966647148132324,6.0739617347717285,4.810997486114502,3.587346076965332,3.073531150817871,1.904191493988037,1.7981895208358765
30000,40001,17,9,252,40,0,1792.4383544921875,91.62860870361328,47.0905876159668,15.939056396484375,10.521459579467773,6.139256000518799,4.588851451873779,3.7721385955810547,3.365962266921997,3.0700063705444336,2.5617315769195557,2.290074110031128,2.0431435108184814,1.9294452667236328,1.7511261701583862,1.5891404151916504,1.3191508054733276,1301.73486328125,47.14183044433594,13.064348220825195,6.190821170806885,3.3240888118743896,2.8682661056518555,2.702394485473633,1.9523354768753052,1.6470487117767334
30000,40001,17,9,252,40,1,1792.8443603515625,92.06687927246094,47.185916900634766,15.981781005859375,10.63121223449707,6.0897135734558105,4.581477165222168,3.8639578819274902,3.519258975982666,3.0670831203460693,2.5034542083740234,2.404707431793213,2.3035411834716797,2.0118467807769775,1.8666541576385498,1.6609294414520264,1.3141247034072876,1301.989501953125,47.301734924316406,13.154912948608398,6.218624591827393,3.42867374420166,3.110502243041992,2.806554079055786,2.1614794731140137,1.7316628694534302
35000,45001,17,9,255,45,0,1922.4759521484375,107.61945343017578,32.38960647583008,15.18326473236084,8.833762168884277,6.642058372497559,3.6307621002197266,3.2720580101013184,3.125044345855713,2.1861329078674316,1.8289459943771362,1.6706311702728271,1.5399478673934937,1.3933032751083374,1.2965459823608398,1.1553601026535034,1.0877375602722168,1403.41748046875,47.518470764160156,12.745695114135742,4.560734748840332,3.066288471221924,2.5095953941345215,1.6082836389541626,1.3351706266403198,1.2344728708267212
35000,45001,17,9,255,45,1,1920.950927734375,107.44792938232422,32.09314727783203,15.403128623962402,8.950136184692383,6.471521377563477,3.727571487426758,3.4664480686187744,2.8838894367218018,2.153841972351074,1.867911696434021,1.7096117734909058,1.5926460027694702,1.572827696800232,1.4532619714736938,1.2473796606063843,1.1107467412948608,1402.38232421875,47.226524353027344,12.739283561706543,4.433040142059326,3.044992446899414,2.5355687141418457,1.7704153060913086,1.562986135482788,1.2656899690628052
40000,50001,17,9,252,50,0,2160.356689453125,67.3073501586914,32.70452880859375,15.065671920776367,9.633411407470703,4.5094685554504395,3.4054388999938965,2.7935447692871094,2.5719621181488037,2.533318042755127,1.8433294296264648,1.4027247428894043,1.2897378206253052,1.2759991884231567,1.0984941720962524,1.0719869136810303,1.005682349205017,1572.4775390625,32.14811325073242,13.16395378112793,3.8753767013549805,2.5377612113952637,1.990545630455017,1.8583855628967285,1.2661205530166626,1.1789394617080688
