grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03
0,10001,17,3,253,10,0,3.9196269512176514,3.748380184173584,3.6289687156677246,3.5456175804138184,3.498978853225708,3.43019962310791,3.2804346084594727,3.2201199531555176,3.1819040775299072,3.0847489833831787,3.003506660461426,2.959699869155884,2.892554759979248,2.688987970352173,2.52679705619812,2.5079469680786133,2.3026950359344482,3.3012802600860596,3.0238277912139893,2.8382961750030518
0,10001,17,3,253,10,1,40.237186431884766,5.951242923736572,5.712423801422119,5.393256664276123,5.0832905769348145,5.014044284820557,4.887578010559082,4.7144694328308105,4.681274890899658,4.570066452026367,4.261125564575195,4.229532718658447,4.027065753936768,3.9547057151794434,3.886908531188965,3.693331480026245,3.5188565254211426,17.480504989624023,5.038177967071533,4.7521281242370605
5000,15001,17,3,254,15,0,280.8248291015625,72.3415298461914,44.40444564819336,30.665992736816406,28.513744354248047,21.862407684326172,19.727630615234375,16.77202606201172,14.897272109985352,12.574409484863281,12.484389305114746,10.605084419250488,10.32331657409668,9.501134872436523,8.947397232055664,8.26213550567627,7.782829761505127,121.44682312011719,19.817537307739258,10.519018173217773
5000,15001,17,3,254,15,1,283.7436828613281,72.80757904052734,44.88923263549805,30.629032135009766,28.406217575073242,22.56055450439453,20.376386642456055,16.9097843170166,13.858271598815918,12.617588996887207,11.555522918701172,9.691238403320312,9.17166519165039,8.901453018188477,8.23397445678711,7.643628120422363,7.2843241691589355,123.08853149414062,19.726436614990234,10.264803886413574
10000,20001,17,3,256,20,0,793.0598754882812,92.73027038574219,54.0682487487793,39.036827087402344,32.34818649291992,28.592905044555664,24.824995040893555,22.708816528320312,20.722606658935547,18.833126068115234,16.050294876098633,15.39449691772461,13.907119750976562,12.703886032104492,12.277722358703613,11.583580017089844,10.984090805053711,337.5362854003906,22.26401710510254,14.94941234588623
10000,20001,17,3,256,20,1,796.6819458007812,93.58147430419922,55.16381072998047,39.64139938354492,32.688018798828125,29.311691284179688,25.728412628173828,22.00295066833496,20.512378692626953,16.8808650970459,15.389725685119629,15.022042274475098,13.697396278381348,13.320019721984863,12.85431957244873,11.327929496765137,10.046566009521484,338.9291076660156,22.157377243041992,14.227714538574219
15000,25001,17,3,251,25,0,914.0888061523438,61.83434295654297,31.65624237060547,18.640865325927734,13.647211074829102,10.25986385345459,7.466599464416504,5.804630756378174,4.292811393737793,3.8046727180480957,3.2251334190368652,2.8393797874450684,2.7250959873199463,2.5671944618225098,2.40168833732605,2.1468331813812256,1.981524109840393,382.5057373046875,8.626608848571777,3.1718881130218506
15000,25001,17,3,251,25,1,915.1674194335938,63.093936920166016,33.08409118652344,18.6453800201416,13.59134578704834,10.372617721557617,6.986827373504639,5.681769371032715,4.38751745223999,4.26889705657959,3.4156649112701416,3.2242887020111084,2.794358491897583,2.6459012031555176,2.4965710639953613,2.3699469566345215,2.230593681335449,382.7215881347656,8.75539493560791,3.3262598514556885
20000,30001,17,3,249,30,0,1171.4415283203125,62.42033386230469,35.25840759277344,19.561622619628906,14.371814727783203,10.21996021270752,6.850146293640137,5.802998065948486,5.447168827056885,4.6858930587768555,4.547247886657715,3.2571094036102295,2.8788015842437744,2.6465654373168945,2.526982545852661,2.367821455001831,2.1179773807525635,488.080322265625,9.523173332214355,3.437072277069092
20000,30001,17,3,249,30,1,1174.361328125,62.91297149658203,35.79446029663086,19.275798797607422,14.902511596679688,9.924103736877441,6.8782548904418945,5.737452983856201,5.478511333465576,4.910037517547607,4.402747631072998,2.9572129249572754,2.864609718322754,2.761798858642578,2.6144564151763916,2.226006507873535,2.1400346755981445,488.81597900390625,9.614176750183105,3.6071839332580566
25000,35001,17,3,249,35,0,1497.58544921875,63.25044631958008,33.935855865478516,20.587129592895508,15.688328742980957,9.34361743927002,7.652381896972656,5.980759620666504,5.7463154792785645,4.508795261383057,3.3300888538360596,3.145324468612671,2.9207048416137695,2.750178575515747,2.469574451446533,2.3803491592407227,2.043113946914673,631.0684204101562,10.451582908630371,3.32170033454895
