episode,reward,steps
0,6.025748,90
1,-130.058724,267
2,-2.4547,12
3,-360.295721,1000
4,-42.838281,52
5,-126.835941,259
6,-17.293522,23
7,-284.575969,1000
8,21.866214,42
9,-36.453997,89
10,-49.758506,140
11,-68.218961,150
12,-335.776269,1000
13,-3.471098,46
14,4.140591,71
15,-6.733395,15
16,-27.616446,43
17,-17.408437,35
18,-7.581472,13
19,12.437112,32
20,-92.199015,242
21,-2.598399,18
22,-8.918278,15
23,-24.142106,138
24,13.123579,46
25,2.74463,68
26,-61.72645,112
27,-78.833391,123
28,-3.750735,59
29,-38.123054,35
30,-9.121232,25
31,-310.073109,1000
32,-33.536858,181
33,-256.753132,1000
34,-35.237808,132
35,-9.148738,40
36,-0.608645,38
37,-43.630811,44
38,-78.327289,293
39,-35.756852,90
40,-318.622342,1000
41,-67.515471,260
42,-20.407135,19
43,-49.961829,95
44,-19.862251,47
45,-93.085074,225
46,-18.778877,79
47,-31.859567,240
48,-18.069284,76
49,-25.907165,31
50,-7.634204,70
51,-410.775095,1000
52,-19.667624,17
53,-52.167607,148
54,-41.77691,101
55,-79.044244,166
56,-15.347777,44
57,-15.68616,27
58,-45.345967,87
59,13.815371,66
60,-11.426159,32
61,-49.440756,45
62,-2.466642,116
63,-113.163965,192
64,-6.88561,17
65,-29.508785,32
66,4.271401,59
67,-74.498449,140
68,-22.751532,37
69,-4.755787,59
70,-24.795491,76
71,0.429638,25
72,-35.988742,86
73,-3.597161,28
74,-34.41259,57
75,-33.648077,63
76,-20.25666,32
77,-497.929203,1000
78,-516.727591,1000
79,-521.253728,1000
80,-80.663194,140
81,-493.223702,1000
82,-16.064894,25
83,-47.478606,66
84,-2.905393,51
85,-458.885265,1000
86,-136.786206,244
87,-366.350516,1000
88,-275.568874,1000
89,-115.376305,531
90,-32.72368,156
91,-151.388091,1000
92,13.554252,53
93,154.993279,391
94,-19.195356,1000
95,182.107979,1000
96,18.361963,99
97,281.286001,659
98,295.995695,1000
99,404.067165,1000
100,95.837176,158
101,234.884371,609
102,324.326264,1000
103,223.261012,542
104,374.073121,1000
105,318.305592,1000
106,117.370327,339
107,313.69364,824
108,166.164779,238
109,49.895072,92
110,242.545565,376
111,439.568556,1000
112,482.166859,1000
113,355.540752,561
114,43.588086,104
115,171.455159,302
116,32.011626,21
117,-7.40536,42
118,369.582759,1000
119,398.432617,1000
120,424.679426,1000
121,5.138033,19
122,39.148668,75
123,-0.481302,27
124,2.703821,13
125,5.653404,15
126,0.32588,16
127,221.367041,325
128,47.359262,50
129,15.052286,20
130,489.44262,1000
131,254.611944,409
132,422.423689,1000
133,140.28401,242
134,188.933514,1000
135,430.930289,1000
136,441.850946,1000
137,445.161602,1000
138,511.818544,1000
139,505.374884,1000
140,92.17124,134
141,-3.218664,22
142,190.376816,197
143,533.014789,1000
144,105.871027,87
145,170.999305,192
146,50.805867,52
147,196.233081,298
148,22.272786,33
149,499.453841,1000
150,602.006368,1000
151,59.89924,74
152,437.409438,1000
153,338.382943,922
154,24.284866,25
155,539.496763,1000
156,125.68863,123
157,32.111486,30
158,639.614063,1000
159,198.538536,490
160,5.308605,24
161,698.862398,1000
162,226.48749,248
163,8.934314,16
164,474.078437,1000
165,185.598195,228
166,233.706197,284
167,160.35122,265
168,57.673062,60
169,85.485213,84
170,54.003849,59
171,53.707412,63
172,23.555405,24
173,153.739076,167
174,266.700453,291
175,28.732043,34
176,605.109614,1000
177,585.882857,1000
178,112.999593,90
179,244.596268,212
180,209.234188,294
181,563.58494,1000
182,27.237704,47
183,19.987739,26
184,49.706299,41
185,754.980866,1000
186,125.873161,177
187,97.584783,88
188,5.68503,17
189,98.786902,80
190,64.31748,83
191,57.674286,48
192,157.800861,194
193,274.987035,283
194,702.448335,1000
195,168.875001,156
196,239.071839,328
197,85.412088,155
198,708.242445,1000
199,125.378832,95
200,619.094676,1000
201,684.298446,1000
202,3.185951,19
203,492.395253,484
