grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03
0,10001,17,3,253,10,0,4.020808219909668,1.4745889902114868,1.0615049600601196,0.8912193179130554,0.645168662071228,0.5419878959655762,0.5090768933296204,0.4611235558986664,0.409030020236969,0.3867819905281067,0.37684422731399536,0.37592461705207825,0.35782021284103394,0.3426828980445862,0.3118259608745575,0.28546464443206787,0.24889549612998962,1.898491621017456,0.4922142028808594,0.35610631108283997
0,10001,17,3,253,10,1,6.649321556091309,1.5099998712539673,1.2206491231918335,1.0831629037857056,0.9155986905097961,0.7333588600158691,0.676395833492279,0.6442923545837402,0.6079006791114807,0.595562756061554,0.5659382939338684,0.5210407376289368,0.5054327249526978,0.4800383150577545,0.46272099018096924,0.4341644048690796,0.4162808656692505,2.959880828857422,0.6562307476997375,0.5277320742607117
5000,15001,17,3,251,15,0,614.48779296875,62.63737869262695,33.14013671875,24.275047302246094,16.996747970581055,11.647944450378418,9.760778427124023,8.78502368927002,8.243279457092285,7.032495975494385,6.394277095794678,6.204890251159668,5.793724060058594,5.538310527801514,5.265539169311523,4.891849517822266,4.251284122467041,261.6790771484375,11.572325706481934,6.12672758102417
5000,15001,17,3,251,15,1,614.8900146484375,63.03022003173828,33.52111053466797,24.723726272583008,17.273162841796875,11.690844535827637,9.962215423583984,8.614522933959961,8.378337860107422,7.014030456542969,6.40291690826416,5.875362873077393,5.716737270355225,5.535181522369385,5.429102420806885,5.072934150695801,4.172296524047852,262.1132507324219,11.774940490722656,6.153964996337891
10000,20001,17,3,252,20,0,994.108642578125,67.7109146118164,27.07170867919922,13.900185585021973,11.006821632385254,8.362428665161133,6.045334815979004,4.983082294464111,4.067294120788574,3.6815834045410156,3.602792978286743,3.339879035949707,3.0363500118255615,2.894495725631714,2.544935941696167,2.4879655838012695,2.0381829738616943,411.0673522949219,8.379151344299316,3.4005541801452637
10000,20001,17,3,252,20,1,997.1295166015625,67.48090362548828,26.965587615966797,13.673064231872559,10.947798728942871,8.317022323608398,6.084826469421387,4.875114917755127,4.268321990966797,3.9014511108398438,3.5457632541656494,3.4685463905334473,3.1005117893218994,2.7767820358276367,2.6062114238739014,2.435802698135376,2.170520782470703,412.2376708984375,8.243247985839844,3.232348680496216
15000,25001,17,3,251,25,0,1168.1273193359375,61.94397735595703,36.232933044433594,15.563482284545898,8.487939834594727,4.269331455230713,2.3223493099212646,1.7645795345306396,1.2862011194229126,1.0059818029403687,0.8214665651321411,0.7812935709953308,0.7322701811790466,0.6673177480697632,0.6468977928161621,0.5490776896476746,0.508897066116333,488.85858154296875,7.004975318908691,0.8994856476783752
15000,25001,17,3,251,25,1,1167.7723388671875,61.78791046142578,35.90286636352539,15.530004501342773,8.551158905029297,4.296445846557617,2.2159152030944824,1.7782084941864014,1.3013651371002197,0.9853082895278931,0.7979463338851929,0.763565719127655,0.7345631122589111,0.7143768072128296,0.6435998678207397,0.612852931022644,0.5066801309585571,488.66552734375,7.031275272369385,0.9710657000541687
20000,30001,17,3,247,30,0,1322.2684326171875,91.15665435791016,46.36928176879883,22.262939453125,10.758679389953613,6.131332874298096,3.431882381439209,2.4845309257507324,1.858502984046936,1.2762902975082397,1.0328530073165894,0.9865437150001526,0.910592257976532,0.6856938004493713,0.6598762273788452,0.5227504968643188,0.48445573449134827,559.2127075195312,10.789999008178711,1.6436243057250977
20000,30001,17,3,247,30,1,1325.1856689453125,91.20732879638672,46.679527282714844,22.451068878173828,10.465005874633789,5.983470439910889,3.0024821758270264,2.4180407524108887,1.782305121421814,1.3784288167953491,1.11575448513031,1.0061029195785522,0.9046038389205933,0.7332863807678223,0.6431161761283875,0.5866990685462952,0.5328572988510132,560.746826171875,10.631548881530762,1.6248257160186768
25000,35001,17,3,252,35,0,1426.49755859375,78.80200958251953,49.903656005859375,22.918928146362305,10.407851219177246,4.489795207977295,2.8449652194976807,1.4571256637573242,1.2190415859222412,1.0282742977142334,0.9042209386825562,0.7443247437477112,0.7234264016151428,0.6382514238357544,0.6322788596153259,0.5295042991638184,0.46099960803985596,596.9674682617188,9.685803413391113,1.2873735427856445
25000,35001,17,3,252,35,1,1432.7279052734375,78.89132690429688,50.52546691894531,22.714757919311523,10.564804077148438,4.4725565910339355,2.948256254196167,1.5340358018875122,1.1492207050323486,1.0660831928253174,0.8303835988044739,0.7379264235496521,0.7019274830818176,0.6542760729789734,0.5922389030456543,0.5195361971855164,0.45912089943885803,599.5477905273438,9.671736717224121,1.1989225149154663
30000,40001,17,3,252,40,0,1537.9173583984375,97.68698120117188,47.94211959838867,25.278711318969727,9.339508056640625,5.148824214935303,2.8668177127838135,1.7201428413391113,1.3646602630615234,1.0339597463607788,0.7385701537132263,0.7166943550109863,0.6645073890686035,0.6065663695335388,0.5701940059661865,0.48648154735565186,0.4566649794578552,654.38427734375,10.11203670501709,1.1177347898483276
30000,40001,17,3,252,40,1,1539.6973876953125,97.08850860595703,47.58866882324219,24.457853317260742,9.02066421508789,4.951062202453613,2.5364363193511963,1.640186071395874,1.2020549774169922,1.0641095638275146,0.7993395328521729,0.7783608436584473,0.7346473336219788,0.660048246383667,0.6390300393104553,0.5863567590713501,0.520025908946991,654.96435546875,9.961129188537598,1.1428313255310059
35000,45001,17,3,255,45,0,1529.74609375,97.77188110351562,47.76018524169922,23.393457412719727,7.973018646240234,3.871734857559204,2.638596773147583,1.6313406229019165,1.1713560819625854,0.9386829137802124,0.7662429809570312,0.7032853960990906,0.6281089186668396,0.6204240918159485,0.5374838709831238,0.48346590995788574,0.4468236267566681,638.7747802734375,10.212051391601562,1.0858826637268066
35000,45001,17,3,255,45,1,1526.974365234375,98.66783905029297,47.52193832397461,23.556360244750977,8.439285278320312,4.106687068939209,2.6179778575897217,1.5276947021484375,1.201392650604248,0.9199570417404175,0.8131157755851746,0.7033205628395081,0.6807108521461487,0.6015354990959167,0.56918865442276,0.5204474925994873,0.44975602626800537,637.9912109375,10.347274780273438,1.1434190273284912
