arm,seed,variant,eval@100k,eval@30k,eval@60k,eval_final,eval_to-110,eval_to-120,eval_to-140,eval_to-160,total_steps,train_final25,train_to-110,train_to-120,train_to-140,train_to-160
exp2,44,ls10k,-187.3,-200.0,-200.0,-152.0,120001.0,120001.0,85001.0,85001.0,149986.0,-140.32,113707.0,90264.0,84856.0,72501.0
exp2,66,ls10k,-121.6,-200.0,-200.0,-98.8,150000.0,110001.0,95001.0,95001.0,149952.0,-122.32,,142102.0,131784.0,77657.0
baseline,44,normobs,-200.0,-200.0,-200.0,-200.0,,,,1.0,149873.0,-190.2,,,,
baseline,66,normobs,-200.0,-200.0,-200.0,-200.0,,,,,149998.0,-183.12,,,141818.0,132705.0
baseline,52,normobs,-200.0,-200.0,-200.0,-200.0,,,,,149883.0,-200.0,,,,
exp1,52,normobs,-200.0,-200.0,-200.0,-112.5,,150000.0,145001.0,130001.0,149940.0,-141.04,,,137403.0,127440.0
exp1,66,normobs,-200.0,-200.0,-200.0,-106.4,150000.0,150000.0,130001.0,130001.0,149936.0,-154.28,,,134039.0,119033.0
exp1,44,normobs,-200.0,-200.0,-200.0,-200.0,,,,1.0,149991.0,-192.0,,,,
exp2,52,normobs,-200.0,-200.0,-200.0,-200.0,,,,5001.0,149888.0,-200.0,,,,
exp2,44,normobs,-200.0,-200.0,-200.0,-200.0,,,,1.0,149980.0,-200.0,,,,
exp2,66,normobs,-200.0,-200.0,-200.0,-200.0,,,,,149910.0,-197.68,,,,
