episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
1000,Hankel a2 rollout,200,39.3791,1.8727,603,201,603,201,1.1021,1.0050,0.00140422,0.0018277,0.0048169,0.005
1000,Hankel a3 rollout,199,15.4487,2.3744,603,201,603,201,1.2064,1.0096,0.00141872,0.00200073,0.00490615,0.00502297
1000,Hankel a4 rollout,198,3.5326,2.1186,603,201,603,201,1.1560,1.0151,0.00147185,0.00191706,0.00482813,0.00505045
1000,Hankel a5 rollout,195,1.2562,2.0321,603,201,603,201,1.3927,1.0260,0.00123935,0.00230962,0.00482184,0.00510471
1000,Hankel a6 rollout,199,18.7131,2.0776,603,201,603,201,1.2250,1.0099,0.0013533,0.00203148,0.00484815,0.0050244
1000,Hankel a7 rollout,197,1.4186,2.3955,603,201,603,201,1.3218,1.0185,0.00133633,0.00219197,0.00486137,0.00506736
1100,Hankel Q rollout,26,1.0032,1.1644,1503,500,1503,500,1.8695,1.3832,0.00031574,0.00124383,0.00164331,0.00276642
1100,Hankel a0 rollout,485,1.2452,2.1411,1503,500,1503,500,1.1101,1.0162,0.000588615,0.000738558,0.00194983,0.00203246
1100,Hankel a1 rollout,491,1.8240,1.9645,1503,500,1503,500,1.1665,1.0138,0.000587499,0.000776097,0.00195803,0.0020275
1100,Hankel a2 rollout,494,48.5208,1.8973,1503,500,1503,500,1.1688,1.0097,0.00058543,0.000777667,0.00198027,0.0020194
1100,Hankel a3 rollout,494,5.5085,2.2714,1503,500,1503,500,1.1487,1.0102,0.000591905,0.000764275,0.00197633,0.00202045
1100,Hankel a4 rollout,493,4.0558,2.1996,1503,500,1503,500,1.1095,1.0110,0.00058588,0.000738208,0.00197121,0.00202203
1100,Hankel a5 rollout,482,1.1958,1.9302,1503,500,1503,500,1.0836,1.0182,0.000596586,0.00072095,0.00196099,0.00203644
1100,Hankel a6 rollout,494,43.1331,2.1004,1503,500,1503,500,1.0944,1.0111,0.000605615,0.00072813,0.0019595,0.00202224
1100,Hankel a7 rollout,490,1.4961,2.6799,1503,500,1503,500,1.1450,1.0138,0.000562371,0.00076181,0.00195715,0.00202767
1200,Hankel Q rollout,13,1.0020,1.1105,1503,500,1503,500,2.3847,1.5480,0.000334847,0.00158664,0.00130855,0.003096
1200,Hankel a0 rollout,482,1.1912,1.9761,1503,500,1503,500,1.0949,1.0233,0.000623675,0.00072845,0.00194545,0.00204658
1200,Hankel a1 rollout,494,2.3157,2.1658,1503,500,1503,500,1.1394,1.0098,0.000554056,0.0007581,0.00196977,0.00201965
1200,Hankel a2 rollout,492,57.8701,1.9211,1503,500,1503,500,1.1627,1.0148,0.000619133,0.000773563,0.00196493,0.00202957
1200,Hankel a3 rollout,492,4.2709,2.2639,1503,500,1503,500,1.1190,1.0146,0.000615085,0.000744502,0.00197872,0.00202927
1200,Hankel a4 rollout,493,4.0695,2.1405,1503,500,1503,500,1.1252,1.0111,0.00057745,0.000748633,0.00196778,0.0020222
1200,Hankel a5 rollout,484,1.2482,1.9983,1503,500,1503,500,1.1086,1.0199,0.000578878,0.000737594,0.00194874,0.00203988
1200,Hankel a6 rollout,491,42.4126,1.9753,1503,500,1503,500,1.0767,1.0140,0.000619158,0.000716348,0.00196948,0.00202797
1200,Hankel a7 rollout,489,1.3328,2.3535,1503,500,1503,500,1.1144,1.0115,0.000612208,0.000741452,0.00193788,0.00202292
1300,Hankel Q rollout,11,1.0018,1.1152,1503,500,1503,500,2.0836,1.5489,0.000193804,0.00138628,0.000850351,0.00309789
1300,Hankel a0 rollout,488,1.4678,2.7542,1503,500,1503,500,1.1864,1.0179,0.000553793,0.000789384,0.00196985,0.00203587
1300,Hankel a1 rollout,488,1.4724,1.9752,1503,500,1503,500,1.3020,1.0158,0.000530338,0.000866241,0.00196896,0.00203169
1300,Hankel a2 rollout,492,55.0626,1.9105,1503,500,1503,500,1.1195,1.0134,0.000597182,0.000744854,0.00197511,0.00202673
1300,Hankel a3 rollout,494,2.6909,1.9001,1503,500,1503,500,1.1471,1.0103,0.000609194,0.000763195,0.00196672,0.00202056
1300,Hankel a4 rollout,496,3.6409,2.1850,1503,500,1503,500,1.1465,1.0070,0.000586986,0.000762832,0.00197752,0.00201406
1300,Hankel a5 rollout,485,1.2137,2.1017,1503,500,1503,500,1.1406,1.0180,0.000603786,0.000758857,0.00196257,0.00203602
1300,Hankel a6 rollout,492,37.3774,2.0369,1503,500,1503,500,1.1413,1.0119,0.000582005,0.000759334,0.00196578,0.00202376
