episode,reward,steps
0,-22.108376,95
1,-22.012212,26
2,-385.060533,1000
3,-37.02768,133
4,-11.556646,26
5,-54.077103,122
6,-34.146323,55
7,-103.016712,165
8,-0.776192,20
9,-266.249263,1000
10,-83.525786,159
11,-18.212088,27
12,-17.735404,294
13,-2.982742,22
14,-22.689723,30
15,-8.41399,23
16,-53.59886,51
17,-40.061604,150
18,-128.810654,163
19,-391.866009,1000
20,-6.180398,21
21,-22.626786,38
22,-4.059319,20
23,-33.560563,103
24,-1.618861,34
25,-376.58803,1000
26,-61.676612,160
27,13.465689,93
28,-93.720896,90
29,-28.849151,68
30,-36.01921,38
31,4.620737,21
32,-62.130352,130
33,-30.889781,39
34,-93.85832,206
35,-109.995024,128
36,-16.884374,73
37,-34.957869,79
38,-41.407019,84
39,-90.254325,147
40,-17.594109,41
41,-29.776592,28
42,-19.86525,37
43,-18.51008,35
44,-9.228445,12
45,-318.807798,1000
46,-37.591862,45
47,-13.457084,69
48,-27.783117,46
49,-39.71912,74
50,-286.620834,1000
51,3.942435,15
52,-81.716779,153
53,-24.811374,74
54,-49.004073,63
55,-12.8147,160
56,348.488027,1000
57,845.059866,1000
58,781.669311,1000
59,440.092858,1000
60,150.800574,239
61,271.139632,1000
62,246.859468,1000
63,45.472577,210
64,85.684929,207
65,37.467246,151
66,-13.960943,76
67,203.931079,482
68,22.232186,28
69,135.241156,156
70,66.610413,1000
71,6.202666,21
72,17.015412,53
73,97.032691,301
74,48.151289,135
75,84.941179,257
76,21.204117,107
77,104.760223,273
78,-3.675555,207
79,26.058531,1000
80,76.694643,207
81,75.995963,246
82,-50.461612,226
83,-12.455427,296
84,-236.159566,1000
85,-1.898458,25
86,34.815377,97
87,9.696795,25
88,-12.350671,73
89,63.101118,179
90,36.796256,111
91,0.774201,77
92,57.673204,309
93,149.801148,289
94,13.709319,67
95,142.211227,216
96,16.137783,22
97,14.973745,40
98,230.757329,1000
99,374.389439,1000
100,-50.085353,91
101,4.405616,60
102,34.17311,304
103,40.808494,72
104,12.161396,64
105,258.908815,695
106,16.982588,79
107,65.112446,137
108,89.611536,224
109,-4.8241,47
110,-13.110436,341
111,109.949517,201
112,98.798652,166
113,76.11852,275
114,22.490152,36
115,11.860843,762
116,37.837507,104
117,393.245425,1000
118,14.910372,71
119,-70.88528,180
120,13.492338,116
121,450.645378,1000
122,-1.273458,79
123,392.863952,1000
124,43.089941,58
125,45.291899,137
126,38.034841,98
127,21.37262,74
128,-11.47925,13
129,9.698623,22
130,53.758768,132
131,-4.678904,234
132,35.399304,236
133,56.608671,75
134,315.307253,1000
135,-17.315242,115
136,42.05139,88
137,69.91433,202
138,44.204778,171
139,16.952634,52
140,-2.038079,50
141,4.560144,37
142,-0.627444,10
143,81.45547,289
144,37.151907,71
145,26.143313,75
146,32.009438,70
147,455.060396,1000
148,40.522903,114
149,-7.610686,38
150,118.73931,207
151,-10.621858,33
152,1.308224,17
153,548.991899,1000
154,121.823386,123
155,627.451411,1000
156,11.243718,20
157,35.578306,72
158,59.716486,138
159,-4.954445,95
160,634.834172,1000
161,65.207404,96
162,42.874342,71
163,625.414891,1000
164,39.222454,337
165,15.955142,36
166,44.803223,74
167,62.931179,126
168,2.051844,18
169,672.641728,1000
170,670.72193,1000
171,-50.220263,91
172,10.974694,34
173,52.147998,65
174,4.592891,13
175,405.546269,1000
176,2.787169,23
177,5.057729,58
178,5.695156,15
179,188.184957,467
180,80.673446,144
181,-15.780675,33
182,7.302352,52
183,17.85901,43
184,90.802539,85
185,53.009547,261
186,-2.575426,48
187,55.090589,97
188,33.025894,94
189,78.266659,295
190,52.640047,139
191,13.370356,36
192,-2.05119,33
193,7.255336,33
194,50.853952,86
195,35.694379,59
196,-10.409993,64
197,0.60992,45
198,136.239293,275
199,11.169746,14
200,-2.149364,19
201,37.789105,53
202,107.554383,148
203,1.55757,45
204,105.514322,195
205,72.917736,193
206,203.560305,616
207,345.465133,531
208,123.937034,209
209,586.925346,1000
210,573.149858,1000
211,67.076613,188
212,676.819579,1000
213,121.129511,249
214,180.546044,237
215,-0.501272,9
216,221.5889,387
217,51.019946,89
218,643.334913,1000
219,583.023902,1000
220,665.487215,1000
221,45.227669,53
222,24.343537,122
223,36.635898,65
224,425.288776,1000
225,330.514803,666
226,141.253077,212
227,469.734493,1000
228,76.494044,106
229,627.725548,1000
230,118.950809,154
231,11.896361,31
232,560.966358,1000
233,51.476809,77
234,-39.513795,136
235,4.133953,35
236,650.037693,1000
237,638.046833,1000
238,665.239511,1000
239,547.870228,1000
240,671.506611,1000
241,34.853506,140
242,98.976225,140
243,701.564639,1000
